,Firm,Start date,End date,Alpha,Beta,Sharpe,Treynor,Annual returns
0,Discover Financial Services,2020-01-01,2022-12-05,0.00024553545174911323,1.6461090079669503,0.028467822910208187,0.0006284163261490829,0.10737634550393049
1,Intel Corporation,2017-01-01,2024-01-31,-0.0002640581614921084,1.2461414590842388,0.017921432369853076,0.0003264084798576783,0.05132431051190234
2,Ford Motor Company,2017-01-01,2024-02-15,-0.0002153126726115881,1.198339480084596,0.017874707383981656,0.0003620115585252003,0.042269324501472694
3,JPMorgan Chase & Co.,2019-05-04,2022-05-05,-0.00030436953899822867,1.2089792436553202,0.02158813062994496,0.00041009856762234503,0.0707121230555594
4,Bank of America Corporation,2022-01-01,2023-12-31,-0.00047967356939326,1.0115806230592836,-0.023774565159794907,-0.0004397178439875195,-0.14066760851356575
5,Microsoft,2019-01-01,2024-02-01,0.0004975090772327727,1.1979771720378647,0.0650634967047944,0.001037231095598106,0.33255133540065973
6,Costco Wholesale Corporation,2019-05-01,2021-05-02,0.0004965565807409675,0.6167246236091936,0.06927679573100701,0.001680715035275151,0.2671254039749946
7,Johnson & Johnson,2018-05-01,2021-06-02,6.629179926616823e-05,0.6555816221045605,0.03734547656684005,0.0008134446331080238,0.13121519896174405
8,"Pepsico, Inc.",2015-01-01,2023-09-05,0.00014039028572062286,0.6631831960731267,0.03662064386251981,0.0006589484665603588,0.10670614290003044
9,McDonald's corporation,2018-09-01,2024-02-11,0.00022259785126575856,0.7139915680288078,0.03926288219574388,0.0007921465755507519,0.13639286964044972
